body,date,location
I didn't ask and I wasn't doing anything sexual or even coming onto him in anyway. He ran his hand up the inside of my thigh and up to my crotch whilst we were out with others from school. He knew a liked him and that I wouldn't have the guts to tell anyone. The others saw but they never told anyone. He was in my year group but almost 12 months older than me. My crime was thinking I could wear shorts in the summer.,,
I made friends with a boy from college and one of our mutual friends was having a party I was groped by this boy multiple times I didn’t consent to being touched like that and I told him to stop. I was too afraid to tell anyone because I didn’t think it was as serious as other stories I had heard,,
"From the age of 14 years old the boys would start making “fit lists” that would go around our school, pitting the girls against one another. When the girls started growing boobs, boys in the year would grab you when walking through the corridor and put their hands up our skirts. We were on a school trip and a boy came and sat next to me on the bus and put his blazer over us and when I wouldn’t kiss him or let him touch me he called me frigid repeatedly, as did his friends. I lost my virginity at 14 because I felt a pressure to and the boys would then leave me alone as I started dating someone in the year who they were afraid of. He was also verbally abusive and would call me a slut for talking to other boys and would constantly check my phone but staying with him meant that I was safe from the other boys in the year. There are so many examples of sexual assault, harassment and abuse but I remember being at a party and the boys were huddled together and two of them were making the other boys sniff their fingers and they said they had both fingered one of my friends, were calling her “loose”, I went looking for her and found her extremely drunk and semi-conscious. At another party another friend was extremely drunk and a boy was fingering her publicly and everyone started taking pictures. I then had to get her home after she passed out from drinking and when we went into school the next day, everyone had the picture. At the end of sixth form I had fallen asleep at my friends house after we had been drinking and I woke up to my trousers down and my friend sexually assaulting me. I was half asleep but then realised what was going on and ran out of the house and tried to get home. When I got back to my Mum I had told her what happened and I begged her not to call the police because I was scared. He text me the next day saying sorry for taking things too far. I then told my friends and they all carried on being friends with him and said that they find it hard to be mad at him. He was best friends with my boyfriend and I had to see him at every party, I’m not sure if people didn’t believe me or just didn’t care. This type of behaviour was normalised throughout school, I was one of the lucky ones as it only happened to me once. I believe that this rape culture sets in very early and it sets women up to be abused and also turns them against each other. I was angry at the girls who didn’t support me, sometimes more than the boy that actually assaulted me. I realise now that that isn’t right. If I could go back in time I would stand up for the other girls more because I excused so much behaviour from the boys that was actually a starting sign of something much darker.",,
"I was 14 and sat next to my dad’s friend at a restaurant. He was being friendly and asking me how life was going etc and then I felt his hand firmly on my thigh, rubbing it up and down. I crossed my legs trapping his hand in between by accident, I was hoping it would make him take it off. I’m sure he didn’t mean anything by it and he was drunk but I never want to see him again, I felt really uncomfortable. I told my parents I was shocked but it felt like no one thought it was that bad.",,
When I was 14 I was mentally abuse and raped by someone I was close to.,,
"I was at a party (pre covid) and I walked in with a couple of my guy friends and i immediately saw this boy kissing a girl i knew, i didn’t think much of it until he saw me and my guy friends and he physically dropped her so he could come and talk to us. she was unconscious and he was fingering her, her skirt was pulled us around her waist and the front strap of her top had been snapped so her bra was exposed. i have never bee mitre terrified in my life as i know what this boy is capable of, he has followed me home on one occasion, insistent on walking me home and he ends up sexually assaulting me outside my own house. my guy friends did nothing about it either and they found it funny. i would have done something if i wasn’t petrified it would have been me next",,
I was 7 and all the people in my year had in school doctor check ups. He touched me and made me touch him. I’ve never told anyone because I still believe it was my fault. But I was 7... I still wonder if it happened to any other people in my year. I still have nightmares about it to this day.,,
"I was 16 years old, on holiday and happened to be in the same resort as a boy in my year at school. I had a boyfriend at the time and they were both friends. His family invited me to a party near the resort and we both hung out & had some drinks. During the party we were chatting in the main house and he proceeds to grab my breast, clearly had a boner - I swiftly removed his hand. He then says ‘what happens in X stays in X” (x being the destination) and that my boyfriend never needed to know. He then proceeded to insist I give him head; I refused. Then I ran to the bathroom to call my boyfriend and he proceeded knocking on the door and harassing me whilst I was in the bathroom. Then, after leaving the bathroom I then ran to a room populated by other people and later we left the party all in the same car. He was sitting next to me in the car (his parents in the front) and then continued to grope me and try and put his hands in my underwear in the car on the way back. I didn’t say anything as his family were right there and kept trying to push his hands away. The next day, he realised what he had done and apologised, said he had drank too much, couldn’t remember and begged me not to tell anyone at school. I didn’t - I was too afraid my school wouldn’t believe me and his family were too influential. He then proceeded to be in a position of leadership for the next 2 years at my school and has never been held accountable for his actions.",,
someone got me in the toilets and put something hard in my mouth,,
"i linked this boy at this school and when things were not going well at all , we were ending things basically. I got sent a pic from him in another girls bed which I didn’t really care at the time but then he sent a picture of the girl in her room and she was naked but so obviously unaware he was taking the photo . I’ve never told the girl as it would feel so embarrassing and he really doesn’t deserve to be thought about by anyone. Him and his group treat girls like they’re disposable, passing girls around, calling them loose and easy to their face and behind their backs for ‘agreeing’ to be passed around. They go from a friendship group of girls to the next group of girls when they’re bored or got with all of a group. I think that this group isn’t the only group in the school to have this mindset about girls as I’ve had multiple boys from different groups pop up from this school, insistently asking for nudes or a beat . and when I say no they sometimes spread that I did do it and it’s some sorta trophy for them as well as a way to degrade and call me easy. This school hasn’t been addressed yet but it needs to be.",,
"I had my first intimate boyfriend when i was 15. We went on holiday with my family when i was 15 and he was 16. One of the mornings, i woke up to him forcing himself into me. I asked what he was doing and he said that because we were spooning and i was in that position that he thought it was okay even though i was clearly asleep. He then started crying after i confronted him saying ‘how could you accuse me of something like that’. He fell out with me for the whole day, and i ended up apologising because of how he manipulated the situation to make me feel i was in the wrong. Throughout the rest of the relationship (3years) he would continue to touch me in my sleep, whether it was my breasts, touching my privates and even forcing himself in. Obviously, i would wake up but because of what happened before i was too scared to confront him in case he would fall out with me or threaten to leave me. I just let it happen, and i regret that every day. He would continue to do this for the rest of the three years, and i saw it as being almost normal until i realised after the relationship ended that he manipulated me in so many ways into thinking the rape and sexual assault was okay. It doesn't always have to be violent. Its emotional and scary too. We can’t always fight back, it so hard in the moment especially when its someone you thought cared and loved for you. He would also pressure me for sex, if i said no im not in the mood, he would keep pushing and touching me until i gave in just to get him to leave me alone. He would make jokes threatening a domestic on me in front of his friends and they all laughed along, it wasn’t funny. It scared me. Just because he was my boyfriend, it did not give him the right to take my body whenever he wanted. Its still rape, and i only realised that and how bad he was after i got out of the relationship.",,
"I was in secondary school and started speaking to a boy for a couple of months. He led me on and begged me for nudes every single night. If he asked me during the day and I said no maybe later he would then ask me later and say that I ‘owed him and promised’ and felt bad and ended up sending it. He screenshotted and saved to camera roll and promised he wouldn’t show anyone. Next day the pictures were sent around on the boys groupchat and around the whole school. A random guy came up to me and said he saw that picture in his Spanish class and got hard and had to go to the bathroom to wank it off. I would get comments every day calling me names and a slut, whore, ‘easy’ since this boy was younger than me. The pictures are on many peoples phones and he lied to me that he deleted them because he showed someone them the following day after a month of sending them around so I’m pretty sure their still on his phone and many other peoples.",,
There is a group of guys in year 12 at [school name omitted by EI to preserve anonymity] who take advantage of drunk girls at motives and generally just display really creepy behavior. I feel afraid to be around these boys at motives and i’ve seen them sexually assault and harass many girls. These guys are disgusting and they deserve to be punished,,
I was sexually assaulted by my best friend (male) and my nudes were leaked around school. I later found out that there was a large group of guys that had a group chat where they would share girls nudes that they had received.,,
I was stealthed by a guy that I trusted (when they remove the condom without telling you) and then after he tried to deny it. I felt so violated and hurt.,,
"I met up with a guy I was friends with and we kissed, I didn’t want to do anything else but stayed at his. I told him I didn’t want to do anything else but I had missed my last train home, we were in his room and I wanted to sleep but he got naked. He then made me put my hand on his penis and begged me to give him head. I said no I didn’t want to and went down to the kitchen. He then en coerced me into giving him a hand job. I felt like it was the only way I could get it to stop. I didn’t tell anyone and I don’t really remember the details it almost seemed too traumatic to ever think of again.",,
"In 2019, I was with my boyfriend at the time. We were watching a movie and he wanted to have sex, but I didn’t. He forced himself onto me and shoved my face into a pillow so he didn’t have to listen to me telling him to stop. I’ve only been able to tell a few people what happened since.",,
"This is nowhere near as extreme as some of the other testimonies but a boy I was with would send snaps to his friends whilst I was in the background in my underwear without my knowledge as well as telling his friends everything we did in bed which got spread around, getting him ‘lad points’ whilst I got slut shamed. [school name omitted by EI to preserve anonymity] is just as bad, if not worse; the way I have heard [school name omitted by EI to preserve anonymity] boys talk about me/ other girls behind our backs is honestly disgusting from making rape jokes (some having actually assaulted girls) to constantly ranking girls based on body and rating them on how much they’d like to fuck them (whilst simultaneously slut shaming many of the girls they had had sex with).",,
I didn't think much of it as it was my ex boyfriend. But I knew he had a crush on me ever since we broke up cuz he cheated on me but he kept making sexual remarks to me and sexually harassed me,,
"When I was at school here (late 90s), one of the boys kept grabbing my bum in lessons. I shouted at him to stop but no-one took it seriously. It took two of the girls repeatedly talking to the teacher and insisting it was not okay before she eventually told him to stop.",,
"recently i got drunk with one of my friends and i was virtually black out drunk, i threw up 6 times that evening so i have very little memory of what happened. i’ve slowly been piecing everything together and i’ve realised that she coerced me into having sex with her because i’m the only out girl she knows and i’m apparently the only girl she’d be comfortable trying lesbian sex with. it’s not something i would’ve consented to if i was sober, or even a little bit drunk at all. i just felt like i had to because she initiated it and i was too fucked to say no. i feel like it’s all my fault though because it’s messed up a talking stage that i’m in because he doesn’t know that i didn’t consent to what happens, he just thinks i’ve cheated. i have no idea what to do with myself.",,
"Sexually assaulted multiple times in and out of school. At times witnessed by the entire class. Many supported me, but enough didn’t. The head teacher told me it was as much my fault as his. ‘6 of one and half a dozen of the other’ to be precise. Nothing was done. I was kept on my own for weeks out of lessons in a classroom by myself. I tried to commit suicide due to the depression I fell into. I wasn’t safe in school. More recently many members of my class have told me they saw it happen and they never spoke up because they knew how corrupt his mum was. (She works in the school)",,
"It was broad daylight, I was walking down the busiest street in my city with my boyfriend right next to me wearing baggy jeans and a jumper. Out of no where some guy grabs my ass really hard and I freeze start crying. My boyfriend asked me who it was/wanted to run after the guy but I said no because ‘I didn’t want to make a fuss’. I still think about that a lot and don’t feel safe anywhere.",,
I was groped by a student in the hallway when I was seven years old.,,
"I hate how every time i go outside in something i feel comfortable in, i get either whistled at or get stared at by old white males. It makes me mad, that i a young female cant go outside without being looked at inappropriately. I just want to live my life.",,
We grow up believing that school is a safe place and that nothing bad will happen to you but that isn’t true,,
Raped twice in my own accommodation by someone I knew when I was black out drunk,,
"We met through a mutual friend and he seemed cool, he seemed hippy and he lived closer to us than our mutual friend so he started to bring us stuff from the mutual. The guy spoke kind of posh but would sometimes put on a voice. We met a lot probably about 20 times at my house. He would wear a blue uniform but we realised afterwards that it wasn’t his real uniform (stolen). He also went by a fake name that turned out the be a movie characters name from a movie he kept recommending but none of us ever watched called American psycho. The guy was always friendly to my younger brother (he’s just a year younger) that we hung out with. It turns out him and my brother were doing shit behind our backs the whole time. It’s not a homophobic thing it’s just he used a fake name and school it’s so creepy I don’t know if anyone has had a similar story. The fake name he used was [name omitted by EI to preserve anonymity], it’s confusing because my brother says he was always fine with it but when he got found out he disappeared.",,
"I was raped at a party by my boyfriend who had given me loads to drink. I passed out and woke up with him sexually assaulting me. I didn’t properly recognise what had happened to me and never spoke about it to anyone. He was my boyfriend, who became my husband (now ex) so it was OK, wasn’t it? This was over 45 years ago and I understand only recently how I was violated.",,
"An old [school name omitted by EI to preserve anonymity] boy groomed me in [name omitted by EI to preserve anonymity] when I was 15 and he was 26. Over the course of the next 4 years he raped me three times, gaslit me, shared photos of me without my consent and engaged in extremely violent sexual practices which left me feeling traumatised and worthless. He is now fairly well known working in a high profile media job.",,
"I was sat outside at a wooden table in my school yard during a lunch last year, sat with one of my close friends of the time he started of just by pitting his hand on my thigh but i was obviously uncomfortable and he kept going up my skirt higher and higher. i just froze. all my friends saw and others too but no one ever said anything at the time or after to me or to him.",,
When I was in year 9 I was sexually abused and almost raped by my ex best friend. if it wasn't for my current partner I would have probably been raped. I'm so lucky that my partner was there and saved me,,
"Me and my ex boyfriend were together through school then last summer we reconnected a few years after breaking up and started to sleep with each other again. He had been at exeter uni and recently graduated. One night after being very drunk last summer, I stayed at his and fell asleep in his bed after saying I was too tired to have sex. I woke up about 30 minutes later to him assaulting me but was too frightened to say something at the moment, I waited till he fell asleep and left his house. I confronted him about it to which his only real response was it was ""sad our 'friendship' had soured because of it"".",,
"I was sexually abused by a boy I had a really good bond with when we were friends, in year nine I was blackmailed into sending nude photos because I was being threatened and bullied by him to do so. It was stupid of me to do but I thought it would make him like me as I was so young I didn’t know what I was doing was wrong. He then screenshotted the photo and posted it on social media and I was then bullied continuously everywhere I went, I moved to a different school and everyone had seen the photos. I would walk through different areas of the city and have people shout at me from bus windows and people who were walking past me (these were people I didn’t even know) me being young and dumb I forgave him multiple times because I really wanted him to like me and I thought he did but there was another time when I was at a party and I asked him if he would walk me home because it was dark and my friends had already left we were about 15 minutes into walking home and we had to walk through a park to get home because we lived near eachother. I went to sit down in a shelter on the park because I felt sick and was blacking out due to drinking. It was then he was bending me over and I kept telling him no and he wouldn’t stop until I managed to get the strength to push him off of me that he stopped. Then he walked off without me and left me alone late at night in the pitch black to walk home alone in a vulnerable situation. Luckily I made it home safe and went straight to bed. When we first because friends in year seven when I was 11/12 he would always put his arm around me and touch my chest area constantly and he would do this to multiple girls who would say they were uncomfortable but he wouldn’t stop. Sometimes he would brag about these situations and all his friends would laugh and agree with him. He was reported to the school a number of times and nothing was done. I was told that the school had made a compilation of clips of him sexually harassing girls that lasted up to 10 minutes long. When the photo was sent out the police gave him a caution. Many girls have reached out to me because I spoke up about this and have said they have had similar situations happen with the same person and other students in the friend group. Somebody was sexually assaulted in an isolation booth at the school by the same boy who assaulted me, he had managed to do this and get away with it because there were no teachers in the room at the time and no CCTV was placed in the isolation room.",,
"My friend and I were groped in the lunch line when we were 14. I had just started at the school and I had already heard things about up-skirting which scared me as it had happened to girls in my year - the perpetrators were given a very light punishment and the school didn't deal with it too well. This boy who groped us in the lunchline (he wasn't a perpetrator of the up-skirting) would continually make comments like 'if I help you with the work you have to give me head' and spread lies about girls who he supposedly 'gotten with' when they rejected him. He gas-lit my friend when she didn't want to get with him / send nudes and said she was stupid and ugly for not wanting to get with him. He made all the girls feel uncomfortable. I sat next to him when I first joined the school and he always made inappropriate comments that I didn't know how to respond to. When Everyones Invited first kicked off around March/April, our year level really started to have conversations about stuff that had happened in our school (a lot of stuff worse than that , but this was so normalised ). He pretended to really be on board like he had done nothing wrong. Like it was some trend that would go away - he never learnt from what we tried to call out and educate the boys about; a lot of them fell back to their old ways. He continued to act like that.",,
the boys and girls toilets in my comp we're joined. i was drying my hands and this boy i liked was there as well and he said if i didn't suck his dick he wouldn't speak to me or see me again. i was in year 8.,,
"i was TWELVE walking home from my first term of high school when i was severely sexually assaulted on the main road by a sixteen year old boy from another school. people walked by and did nothing, people drove by and did nothing. when i went to his school with my parents, we identified the boy and the police got involved. one of the first questions i was asked was “but what were you wearing?” I WAS A CHILD. i was in my school uniform. i dropped the charges and i still live with the trauma to this day. why did it matter what i was wearing?",,
I was walking in a park and a group of boys on the swing shouted nice arse and asked for my snapchat,,
"My ex boyfriend took advantage of how nervous I was , trust me I was exremerly nervous and he knew that, and he thought that me saying maybe was a good enough answer and he did it anyways. He knows he shouldn't have done it because when I brought it up he panicked and felt bad, he knows what he did was wrong. It's took me two years to come to terms with this.",,
I was at a local scouting explorer group. I was raped by my then boyfriend at one of the camps. I tried to report it and instead was just sent home and banned from camps for having sex. This year is 10 years since the event. He was allowed to continue scouting with me and actually went on to become a scout leader. I tried to report it higher and higher this year and instead they simply told me I wasn't fit to be a scout leader anymore,,
i was at a family dinner but left to see my friends at the park. one minute i was sitting down. the next he was on top of me as i screamed no. he told me it never happened and i was drunk. the rape kit said otherwise..,,
"After a party I decided to share a cab home with one of my guy friends but he ended up just coming to my house, this wasn’t uncommon and I frequently let guys and girls crash at mine. I set him up in the spare room and we were chatting on the bed. We started kissing but I quickly realised I didn’t want it to go any further, and kept saying ‘stop, this is weird, we’re just friends’. He pulled down my pajama shorts and started having sex with me. I was shocked and just kept saying stop this is so weird, shoved him off me a left the room. I cried myself to sleep. The next morning I didn’t know what to do and pretended everything was fine until he left, and then sat in the shower for an hour cause I felt so disgusting. I was so embarrassed and didn’t tell any of my friends for ages as he had a girlfriend. It took me over a year to register that just because it wasn’t violent didn’t mean it wasn’t rape.",,
"I was at a public swimming pool and a boy i knew was inappropriately touching me without my consent. I was calling for help and no one, not even the life guards, came to help me at first",,
"I was at a school party in a club. I was staying at a friend's house. I knee everyone at the party as we all went to school together. A frond whom I fancied came over and we kissed. He led me outside to carry on. I was enjoying it and couldn't believe it was happening. Then it got heavy. He pushed my head on to his penis I got out then he grabbed me and put his hand in my.knickers and pushed his fist inside me. I'm not entirely sure what happened next but he left me, I was bleeding and in shock. I went to the loo to sort myself out and went to find friends. I darent tell them to begin with. I told them the next day as I was still bleeding. I spoke to the female deputy head who knew who it was before I said. Apparently he's done similar things before. Nothing happened. He wasn't spoken to as far as I was aware. I didn't tell my mum, I left school and didn't tell anyone.",,
"I was at a party with my so called group of friends. 5 or 6 lads, 1 girl (dating one of the guys). Our group wasn’t hyper sexual or wild - we were the studious ones who went on to get top in class and become doctors. Sexual humour was always the de facto go to and fall back, and I was picked on - not maliciously, but I was naive, and they took great pleasure in trying to shock me. At this party, things got out of hand - they pinned me down to the floor, and one of them took out his penis and “windmilled” it round in my face. I felt terrified and sick and couldn’t breathe. I initially had a cushion over my face because he was trying to slap my face with his penis, so I dug the cushion further into my nose and mouth. It seemed to go on forever.,I’ve never told anyone this. I was so embarrassed. Afterwards I felt I needed to laugh it off or else they’d call me out even more a prude and joke on and on. And I haven’t really thought about it too much - I quickly stopped seeing this group of people once I left school and it saddens me that this kind of thing passes for party amusement.",,
I was 14 and was sexually assaulted by someone in the year above me. People in my school knew and majority did nothing and treated it like gossip.,,
"when I was 14 my boyfriend at the time were sleeping in a room full of people after a party. He attempted to have anal sex with me without consent or any warning. I told him to stop and he eventually did, he didn’t apologise and we never spoke about it again. I felt embarrassed that it even happened and that I had to tell him to stop. I haven’t ever really come to terms with it as what it was because it never seemed like a big deal to him at all- not important enough to even ask about or speak about after. This is why consent needs to be taught about PROPERLY AND IN DEPTH. Not by watching a 2 minute video about tea.",,
"Where do I begin. There have been so many seemingly minor instances of sexual harassment and abuse over the course of my life as a woman but there is one time in particular where I was raped while abroad. I was with a friend and they knew some guys from back home who were also on holiday so we decided to meet up with them at a bar. We had got quite drunk beforehand and they persuaded us to join them back at their hotel. I’m not a big drinker but they carried on supplying us with alcohol, even pouring straight vodka down my throat. I was so intoxicated that I didn’t realise one of the guys had taken me into the bathroom and had undressed me and was raping me. When I came into consciousness of what was going on I was confused as I didn’t remember consenting to this but I allowed him to carry on and actually forced myself to accept it. My mind literally said, ’well it’s already happening so I suppose I better pretend to enjoy it and get it over with quickly’. My mind left my body so that I didn’t have to think about what was going on. I went to sleep and I later found out he proceeded to have sex with my friend whilst I was on the bed. He didn’t use protection and we both contracted an STD from him.,I always found this example very confusing and didn’t call it rape for a long time afterwards because I thought I had been okay with it even though it had felt so wrong. The reality was I never wanted to sleep with him at any moment that night, he had been flirting with my friend all night so I wouldn’t have done that to her, but he ended up assaulting me anyway. I’m now finally able to realise that it was rape, not only that but it ended up ruining and ending the long friendship I had with my friend.,I want to share this for all the other victims that have experienced some form of assault but the lines were blurred and you didn’t understand what consent was, or weren’t able to give it at the time. Your experience is no less real or traumatic, whether people believe you or not.",,
"I was 11 at a public outdoor swimming pool, before we got to the entrance a 14/15 year old boy told us he was new to the area and asked if he could hang with our family for the day. After a while of normal playing he swam with me to the shallow end and exposed himself to me, he asked if he could touch my area under my swimsuit and I said no. He convinced me it was normal at his age and I’d just be getting ahead of the game. I believed him, he was rough and I had to stop myself screaming as this was all happening while still in public but underwater. He attempted to take me into the men’s changing rooms but I said I wasn’t allowed as I was a girl. I believe I unknowingly saved myself from being raped in those changing rooms.",,
There was a boy in the year below me at primary school who required additional support. He had a TA that would be with him during class and during break and lunch on the field and playground. I remember when I was in year two me and some friends walked past him and he was getting agitated about something. He ran up to us and threw himself on the ground and was grabbing hold of our legs to stop us walking away. The TA just stood there telling him that he should stop as we were trying to leave but she didn’t intervene more than this. When he grabbed my legs he put his had up my skirt and touched me. She saw him do this and did nothing. I know she saw because my friends said something about it after we were able to leave so there is no way she also wouldn’t have. I knew it was wrong because I was also being sexually abused by a relative but didn’t quite grasp at the time what about all these situations was making them feel so wrong as I didn’t understand and if an adult had seen and done nothing was it actually as wrong as I felt it was?,,
"In my early twenties I found myself the only person left on a night bus and when I rang thd bell for my stop, the bus driver refused to stop and let me get off. He drove the bus down into a dark bus depot and would not open the doors. At this point, I felt my best option was to be friendly to the driver. He eventually opened the doors and I ran away as fast as I could. I never reported it.",,
"Constantly, girls have been taught to control their skirt length not even due to the actual boys but the male stuff in our school. Male stuff have even admitted to the reason we are not allowed to wear leggings is because of the ‘distraction’ they cause.",,
"It happened in the bathroom when i was seven. I didn't know what had happened because we weren't ever educated on sex between the same sex. I had to grow up till now slowly finding out what it is that caused me pain. Now i can't find anything but disgust toward myself. I could have screamed, but i sort of froze. I barely remember it, but i remember being in pain and i still have all the trauma. I haven't told anyone except two friends. My parents don't know why i suffered multiple panic attacks on a daily basis in my old school or why i hurt myself for years. They think i'm dramatising my life. Maybe i am. I don't want them to know. I have no proof of it. I just want to forget it forever. I never even knew the girls name and i only really noticed her once before. Her face is blurry to me now. I just remember she'd say quite a few lewd things to me before.Part of the reason why i don't want people to know is because i am lesbian, and i don't want people to think that that happening with a girl is what affected that. There are idiots out there who would think that. I knew before it, all that experience did was make me scared of people and talking to them. I've been terrified to write this, the school isn't on the list. I feel so guilty for doing this. I really am sorry but my close friend that i trust and respect completely told me it would be refreshing and even if it sounds selfish, it already is refreshing. I'm sorry.",,
"I was 10/11 years old when I was sexually assaulted by my cousin. I didn't know what he was doing at the time, so I let it happen. I knew it was wrong, but didn't have the courage to stop it because I had known and trusted him my whole life. He repeatedly assaulted me every time I saw him, by using a game we played to get me alone and grab my waist, boobs, butt and would direct my face to his penis. By the time I had realised what was happening, I blamed myself for not seeing it before and didn't tell anyone because I didn't want to break up my family over something stupid. After the initial shock of it, and realising what was happening, I started getting panic attacks whenever I had to sit next to a man and eventually fell into a depression, not knowing I was in one. No one knew what was happening, and I didn't want to worry anyone with what I was going through, so I told myself it wasn't serious and that at least he didn't rape me. One time, I had a panic attack in the middle of class and was on the verge of breaking so I asked to go to the toilet and the teacher didn't let me go. I didn't want to tell her I was panicking, and I made sure to not cry, but I remember giving myself away with my voice, but she still didn't let me go. I had to sit in class for the rest on the lesson trying to steady my breathing but it didn't do anything because I couldn't get away from the sound of someone hitting their pen on the desk. I eventually tried giving out small cries of help through my work and behavior, but no one noticed because I was overlooked as just being the quiet/shy one. After I knew no one could help me, I forced myself to get better on my own and starting resisting to him and he eventually stopped after pushing his hands off of me and kicking him away. I was only in year 7 at the time and I didn't know the extent of what happened until it was over, and still took another couple years before feeling completely like myself again.",,
"me along with several other girls were sexually assaulted by a male student at our attending school, after several reports of it, admission finally took action, however the action was very minimal, the male student was suspended for three days and no further action. I personally feel as though this wasn’t enough as this was a meer game for him, and nothing was going to stop him.",,
"My experiences aren't as harrowing as many of these testimonies but I thought it would be worth showing how far back some of these things go and how schools themselves can perpetuate rape culture.,I was at secondary school in the 2000s and I attended [school name omitted by EI to preserve anonymity], an all girl's school. We were subject to skirt checks, told we could only wear white or flesh coloured bras so teachers couldn't see them through the flimsy mandated school blouse. My year group fought for the right to have trousers in the uniform, this wasn't an option until I was 15. In sixth form we couldn't wear spaghetti strap tops because our bra straps would inflame the male staff - something many of our female staff derided as completely unreasonable but seemed unable to change.,Speaking of staff, there was a Physics teacher who'd been in the department forever and every year you'd hear new stories of him being inappropriate with girls: locking girls in the supply cupboard, telling sixth formers about him picking up sex workers, explains that the Science rooms had stools so he could see our underwear. I personally witnessed him commenting on the colour of a girl's knickers when she'd had to stand on a desk to drop a feather and a ball - her side zip was broken and held up with a safety pin and she was unfortunately at his eye height. He was uncommonly tall and would routinely block doorways and loom over girls. He left at the end of my GCSEs only to be brought back as an invigilator. When I took my A Levels , there was a clash between two of my exams. I had to take my second exam alone in a small enclosed space with him. I was hypervigilant but unfocused on my work the whole time. I got a C when I was predicted an A.,We had a talk from a local police officer in Year 9 on personal safety that amounted to being told don't drink or you'll get raped, don't get in a minicab or you'll get raped, don't wear a short skirt or you'll get raped. Real victim blaming bullshit.,Later, I was a TA at a local secondary school after university. As a TA I was subjected to sexual harrassment by the students I was there to support. One asked me if I used a dildo or if I'd suck him off. A group of them shoved a magnifying glass down the back of my trousers while I was scribing for one of them. What I wanted in both instances was for the school to put in place substantive courses to talk to these boys about consent and autonomy and harrassment. All they wanted to do was suspend or threaten them with the police - not do anything that would explain why what they had done was wrong, not provide me with support, not examine whether if they felt emboldened to do that to me, an adult, how they were treating their peers.,I'm now a teacher and it is heartbreaking but sadly not surprising to read these testimonies and see how schools are at best ill equipped and at worst actively protecting and promulgating abusive, violating behaviour. It's not my story to tell but I will never forget how badly my last school let down a survivor in my tutor group by facilitating the breaking of a protection order.,Solidarity to all of you making your testimonies; I am so sorry for those of you who are suffering not just from the behaviour of your peers but the inaction of your institutions.",,
A boy stuck his fingers inside of me whenever I told him not to. Nobody believed me. It’s hurts to talk about. I was in 7th grade I still have to go to school with him to this day. If I tell anyone I thought nobody would believe me.,,
"I was on holiday with a school friend, both our older brothers and their friends. I was 14 and he was 16. I was very drunk and sleeping on the sofa in my bikini after a fun night of drinking, swimming in the pool and just having fun. He was sleeping next to me, and reached around and groped my boobs. He eventually stopped but then I woke up later to my hand wrapped around his dick, I quickly moved it away and tried to go back asleep. He’s still friends with my brother now and I’ve never told my brother.",,
i was raped.,,
Grabbed my butt while telling me I was doing a good job on biology,,
"I was harassed for years by boys in my school. They were a foot taller and a lot stronger than me, surrounding me when I was on my own and making disgusting comments and laughing. They talked about my sexuality, my body, how easy I was, and later spoke about how trans people shouldn't be allowed to vote, corrective rape, and other things. They laughed at my discomfort,This was at the same time as me being in a sexually and emotionally abusive relationship. I was isolated from everyone, incredibly mentally ill, and being raped regularly, but I had to come in to school every day and listen to them make rape jokes. If I got upset I was a ""snowflake"" and ""triggered"", so I couldn't speak out about my pain.",,
I was pretty pressured into doing things i didn’t want to do. ir was so hard to say no because I hated disappointing him but i would cry for hours everytime after it was over.,,
"I had just came out of a club from the centre of my campus, me and my friend were approached and surrounded by grown men asking about us and catcalling us - I tried to leave and they stopped me from leaving! After 5 minutes of being scared for my life I attempted to leave again, one of them turned round and tried to grab my arm to pull me back in but ended up hitting my boob. They laughed as I walked off and I felt so scared that they would follow me to the car.",,
Boys in my school would have bets to see how many girls they could sleep with and pass around in a year...,,
I myself and other girls i know have been called sluts and slags for things they wear and how they act. I’ve heard girls 13/14 get called “big jugs” because of her bigger breasts and i have witnessed others being inappropriately touched. this is just my year group of 13-14 year olds.,,
"I recently visited my boyfriend of 3 ish years at his uni house in [name omitted by EI to preserve anonymity]. Over the week there were literally two times where i wasn’t with him and both times I was harrassed by older men. The first time, I was taking the trolley back to the front of aldi when this middle aged guy came over and tried to talk to me, i ignored him then he proceeded saying “you’re quite petite if you don’t mind me saying” why tf do you feel like you can say that?! The second time I was walking through town to meet my boyfriend after work and some guy tried chatting to me and complimented me, i ended up being late to meeting my bf because i had to wait for traffic to die down to cross the street bc i didn’t feel comfortable staying on that side of the road. Guys don’t understand that whenever something ‘little’ like this happens, we don’t know if its ‘just another sexual harrasment experience’ or if it’ll end up with rape and/or murder.",,
"It was my first week at the new school, there was many new students, in one of my classes i was sat next to guy, we instantly hit as good friends. I suppose he got extremely comfortable and decided to put his hand on my thighs, i got startled and soon told him it made me uncomfortable, he took his hands off and about 5-10 minutes later, he wrapped his hand around my waste and touched my breasts, i wanted to scream at the very moment but nothing came out, things kept moving and i wasn’t able to open my mouth i was so shocked and terrified that he’d do something to me if i opened my mouth, soon he ended up touching my butt as well, and that’s where i hit his hand. He knew what i was signaling him to do, he told me to not tell anyone or he’d get one of his “girl” friends on me. I’ve yet to tell ANYONE, cause i’m so afraid that i’d get judged .",,
